round,from_agent,from_model,from_priming,to_agent,to_model,to_priming,amount,success
25,Agent-7,claude,neutral,Agent-2,openai,strategic,50,1
25,Agent-1,openai,neutral,Agent-9,claude,strategic,50,1
25,Agent-16,openai,competitive,Agent-5,claude,competitive,50,1
25,Agent-8,claude,strategic,Agent-11,openai,strategic,50,1
25,Agent-4,claude,cooperative,Agent-14,openai,cooperative,50,1
25,Agent-6,openai,neutral,Agent-10,claude,competitive,50,1
25,Agent-15,claude,cooperative,Agent-8,claude,strategic,50,1
25,Agent-9,claude,strategic,Agent-12,openai,competitive,50,1
26,Agent-13,openai,cooperative,Agent-3,claude,neutral,50,1
26,Agent-1,openai,neutral,Agent-11,openai,strategic,50,1
26,Agent-9,claude,strategic,Agent-12,openai,competitive,50,1
26,Agent-4,claude,cooperative,Agent-9,claude,strategic,50,1
26,Agent-5,claude,competitive,Agent-12,openai,competitive,50,1
26,Agent-15,claude,cooperative,Agent-10,claude,competitive,50,1
26,Agent-3,claude,neutral,Agent-9,claude,strategic,50,1
26,Agent-7,claude,neutral,Agent-2,openai,strategic,50,1
26,Agent-14,openai,cooperative,Agent-4,claude,cooperative,50,1
26,Agent-16,openai,competitive,Agent-5,claude,competitive,50,1
26,Agent-12,openai,competitive,Agent-5,claude,competitive,50,1
26,Agent-10,claude,competitive,Agent-9,claude,strategic,50,1
26,Agent-8,claude,strategic,Agent-11,openai,strategic,50,1
26,Agent-2,openai,strategic,Agent-3,claude,neutral,50,1
27,Agent-15,claude,cooperative,Agent-8,claude,strategic,50,1
27,Agent-6,openai,neutral,Agent-8,claude,strategic,50,1
27,Agent-5,claude,competitive,Agent-12,openai,competitive,50,1
27,Agent-7,claude,neutral,Agent-2,openai,strategic,50,1
27,Agent-12,openai,competitive,Agent-5,claude,competitive,50,1
27,Agent-1,openai,neutral,Agent-11,openai,strategic,50,1
27,Agent-10,claude,competitive,Agent-9,claude,strategic,50,1
27,Agent-8,claude,strategic,Agent-14,openai,cooperative,50,1
27,Agent-4,claude,cooperative,Agent-9,claude,strategic,50,1
27,Agent-14,openai,cooperative,Agent-4,claude,cooperative,50,1
27,Agent-9,claude,strategic,Agent-12,openai,competitive,50,1
27,Agent-2,openai,strategic,Agent-7,claude,neutral,50,1
27,Agent-16,openai,competitive,Agent-5,claude,competitive,50,1
27,Agent-3,claude,neutral,Agent-2,openai,strategic,50,1
28,Agent-14,openai,cooperative,Agent-4,claude,cooperative,50,1
28,Agent-12,openai,competitive,Agent-5,claude,competitive,50,1
28,Agent-16,openai,competitive,Agent-5,claude,competitive,50,1
28,Agent-2,openai,strategic,Agent-7,claude,neutral,50,1
28,Agent-3,claude,neutral,Agent-2,openai,strategic,50,1
28,Agent-9,claude,strategic,Agent-3,claude,neutral,50,1
28,Agent-10,claude,competitive,Agent-15,claude,cooperative,50,1
28,Agent-4,claude,cooperative,Agent-9,claude,strategic,50,1
28,Agent-8,claude,strategic,Agent-14,openai,cooperative,50,1
28,Agent-1,openai,neutral,Agent-11,openai,strategic,50,1
28,Agent-13,openai,cooperative,Agent-3,claude,neutral,50,1
28,Agent-15,claude,cooperative,Agent-10,claude,competitive,50,1
28,Agent-7,claude,neutral,Agent-2,openai,strategic,50,1
28,Agent-5,claude,competitive,Agent-12,openai,competitive,50,1
29,Agent-1,openai,neutral,Agent-11,openai,strategic,50,1
29,Agent-8,claude,strategic,Agent-14,openai,cooperative,50,1
29,Agent-4,claude,cooperative,Agent-14,openai,cooperative,50,1
29,Agent-15,claude,cooperative,Agent-10,claude,competitive,50,1
29,Agent-9,claude,strategic,Agent-3,claude,neutral,50,1
29,Agent-12,openai,competitive,Agent-5,claude,competitive,50,1
29,Agent-13,openai,cooperative,Agent-3,claude,neutral,50,1
29,Agent-6,openai,neutral,Agent-8,claude,strategic,50,1
29,Agent-5,claude,competitive,Agent-12,openai,competitive,50,1
29,Agent-10,claude,competitive,Agent-9,claude,strategic,50,1
29,Agent-7,claude,neutral,Agent-2,openai,strategic,50,1
29,Agent-11,openai,strategic,Agent-5,claude,competitive,50,1
29,Agent-14,openai,cooperative,Agent-8,claude,strategic,50,1
29,Agent-16,openai,competitive,Agent-15,claude,cooperative,50,1
29,Agent-2,openai,strategic,Agent-7,claude,neutral,50,1
29,Agent-3,claude,neutral,Agent-1,openai,neutral,50,1
30,Agent-2,openai,strategic,Agent-3,claude,neutral,50,1
30,Agent-5,claude,competitive,Agent-12,openai,competitive,50,1
30,Agent-6,openai,neutral,Agent-8,claude,strategic,50,1
30,Agent-3,claude,neutral,Agent-2,openai,strategic,50,1
30,Agent-8,claude,strategic,Agent-1,openai,neutral,50,1
30,Agent-1,openai,neutral,Agent-11,openai,strategic,50,1
30,Agent-14,openai,cooperative,Agent-8,claude,strategic,50,1
30,Agent-4,claude,cooperative,Agent-9,claude,strategic,50,1
30,Agent-13,openai,cooperative,Agent-3,claude,neutral,50,1
30,Agent-9,claude,strategic,Agent-4,claude,cooperative,50,1
30,Agent-10,claude,competitive,Agent-15,claude,cooperative,50,1
30,Agent-11,openai,strategic,Agent-5,claude,competitive,50,1
30,Agent-15,claude,cooperative,Agent-10,claude,competitive,50,1
30,Agent-7,claude,neutral,Agent-2,openai,strategic,50,1
30,Agent-12,openai,competitive,Agent-9,claude,strategic,50,1
31,Agent-5,claude,competitive,Agent-12,openai,competitive,50,1
31,Agent-16,openai,competitive,Agent-5,claude,competitive,50,1
31,Agent-9,claude,strategic,Agent-10,claude,competitive,25,1
31,Agent-14,openai,cooperative,Agent-4,claude,cooperative,50,1
31,Agent-2,openai,strategic,Agent-3,claude,neutral,50,1
31,Agent-4,claude,cooperative,Agent-9,claude,strategic,50,1
31,Agent-3,claude,neutral,Agent-2,openai,strategic,50,1
31,Agent-10,claude,competitive,Agent-9,claude,strategic,50,1
31,Agent-15,claude,cooperative,Agent-8,claude,strategic,50,1
31,Agent-11,openai,strategic,Agent-5,claude,competitive,50,1
31,Agent-13,openai,cooperative,Agent-3,claude,neutral,50,1
31,Agent-8,claude,strategic,Agent-6,openai,neutral,50,1
31,Agent-12,openai,competitive,Agent-9,claude,strategic,50,1
32,Agent-13,openai,cooperative,Agent-11,openai,strategic,50,1
32,Agent-9,claude,strategic,Agent-4,claude,cooperative,50,1
32,Agent-16,openai,competitive,Agent-5,claude,competitive,50,1
32,Agent-2,openai,strategic,Agent-3,claude,neutral,50,1
32,Agent-4,claude,cooperative,Agent-9,claude,strategic,50,1
32,Agent-8,claude,strategic,Agent-14,openai,cooperative,50,1
32,Agent-11,openai,strategic,Agent-13,openai,cooperative,50,1
32,Agent-15,claude,cooperative,Agent-8,claude,strategic,50,1
32,Agent-3,claude,neutral,Agent-2,openai,strategic,50,1
32,Agent-14,openai,cooperative,Agent-4,claude,cooperative,50,1
32,Agent-10,claude,competitive,Agent-15,claude,cooperative,50,1
32,Agent-5,claude,competitive,Agent-16,openai,competitive,50,1
33,Agent-6,openai,neutral,Agent-8,claude,strategic,50,1
33,Agent-16,openai,competitive,Agent-5,claude,competitive,50,1
33,Agent-14,openai,cooperative,Agent-4,claude,cooperative,50,1
33,Agent-9,claude,strategic,Agent-4,claude,cooperative,50,1
33,Agent-12,openai,competitive,Agent-5,claude,competitive,50,1
33,Agent-4,claude,cooperative,Agent-9,claude,strategic,50,1
33,Agent-11,openai,strategic,Agent-5,claude,competitive,50,1
33,Agent-15,claude,cooperative,Agent-8,claude,strategic,50,1
33,Agent-1,openai,neutral,Agent-15,claude,cooperative,50,1
33,Agent-8,claude,strategic,Agent-14,openai,cooperative,50,1
33,Agent-2,openai,strategic,Agent-3,claude,neutral,50,1
33,Agent-3,claude,neutral,Agent-1,openai,neutral,50,1
33,Agent-10,claude,competitive,Agent-9,claude,strategic,50,1
33,Agent-5,claude,competitive,Agent-12,openai,competitive,50,1
33,Agent-13,openai,cooperative,Agent-11,openai,strategic,50,1
34,Agent-11,openai,strategic,Agent-13,openai,cooperative,50,1
34,Agent-4,claude,cooperative,Agent-9,claude,strategic,50,1
34,Agent-10,claude,competitive,Agent-9,claude,strategic,25,1
34,Agent-14,openai,cooperative,Agent-4,claude,cooperative,50,1
34,Agent-2,openai,strategic,Agent-3,claude,neutral,50,1
34,Agent-6,openai,neutral,Agent-8,claude,strategic,50,1
34,Agent-3,claude,neutral,Agent-2,openai,strategic,50,1
34,Agent-9,claude,strategic,Agent-4,claude,cooperative,50,1
34,Agent-5,claude,competitive,Agent-12,openai,competitive,50,1
34,Agent-7,claude,neutral,Agent-9,claude,strategic,1,1
34,Agent-15,claude,cooperative,Agent-8,claude,strategic,50,1
34,Agent-16,openai,competitive,Agent-5,claude,competitive,50,1
34,Agent-13,openai,cooperative,Agent-3,claude,neutral,50,1
34,Agent-1,openai,neutral,Agent-15,claude,cooperative,50,1
34,Agent-12,openai,competitive,Agent-5,claude,competitive,50,1
34,Agent-8,claude,strategic,Agent-14,openai,cooperative,50,1
35,Agent-2,openai,strategic,Agent-3,claude,neutral,50,1
35,Agent-12,openai,competitive,Agent-5,claude,competitive,50,1
35,Agent-7,claude,neutral,Agent-2,openai,strategic,24,1
35,Agent-3,claude,neutral,Agent-2,openai,strategic,50,1
35,Agent-5,claude,competitive,Agent-12,openai,competitive,50,1
35,Agent-9,claude,strategic,Agent-4,claude,cooperative,50,1
35,Agent-4,claude,cooperative,Agent-9,claude,strategic,50,1
35,Agent-13,openai,cooperative,Agent-11,openai,strategic,50,1
35,Agent-8,claude,strategic,Agent-14,openai,cooperative,50,1
35,Agent-10,claude,competitive,Agent-9,claude,strategic,50,1
35,Agent-11,openai,strategic,Agent-13,openai,cooperative,50,1
35,Agent-15,claude,cooperative,Agent-1,openai,neutral,50,1
35,Agent-1,openai,neutral,Agent-15,claude,cooperative,50,1
35,Agent-14,openai,cooperative,Agent-8,claude,strategic,50,1
36,Agent-8,claude,strategic,Agent-6,openai,neutral,50,1
36,Agent-9,claude,strategic,Agent-4,claude,cooperative,50,1
